n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
163 , 12971.62 , 4200.0 , 1 
164 , 11794.898 , 6000.0 , 1 
165 , 12908.312 , 40.0 , 1 
166 , 13729.629 , 558.664 , 1 
167 , 12947.02 , 6000.0 , 1 
168 , 14769.0 , 6000.0 , 1 
169 , 15245.803 , 6000.0 , 1 
170 , 14936.142 , 40.0 , 1 
171 , 15670.766 , 1081.17 , 1 
172 , 14326.192 , 2000.165 , 1 
173 , 12052.809 , 6000.0 , 1 
174 , 13933.349 , 40.0 , 1 
175 , 13874.704 , 1240.84 , 1 
176 , 12076.419 , 6000.0 , 1 
177 , 14296.339 , 6000.0 , 1 
178 , 15026.522 , 40.0 , 1 
179 , 15136.691 , 40.0 , 1 
180 , 14255.117 , 1102.551 , 1 
181 , 12073.872 , 878.647 , 1 
182 , 10329.141 , 6000.0 , 1 
183 , 13577.652 , 6000.0 , 1 
184 , 14931.336 , 40.0 , 1 
185 , 14732.43 , 808.975 , 1 
186 , 13125.537 , 40.0 , 1 
187 , 12028.604 , 74.0 , 1 
188 , 10636.794 , 40.0 , 1 
189 , 9219.227 , 1023.141 , 1 
190 , 7229.625 , 6000.0 , 1 
191 , 11943.641 , 6000.0 , 1 
192 , 14223.798 , 6000.0 , 1 
193 , 14992.399 , 6000.0 , 1 
194 , 14862.714 , 40.0 , 1 
195 , 15528.224 , 40.0 , 1 
196 , 14934.558 , 984.63 , 1 
197 , 12961.241 , 1821.566 , 1 
198 , 10475.009 , 40.0 , 1 
199 , 9871.838 , 765.624 , 1 
200 , 8373.845 , 6000.0 , 1 
